,0,1,2,3,4,5,6,7,8,9,10,11,12,13
93,32,1/6/19,Horizon Lunar Colony,NEVIX,dva,696.0,9,4,0,7.76,3.45,N/A,N/A,N/A
94,32,1/6/19,Horizon Lunar Colony,NEVIX,unknown,90.0,0,0,0,0.0,0.0,N/A,N/A,N/A
95,32,1/6/19,Horizon Lunar Colony,SINATRAA,tracer,374.90999999999997,7,2,5,11.2,3.2,8.0,"[65.68, 82.89, 2.39, 69.9, 48.14]","[0.0, 9.531, 0.0, 4.14, 17.21]"
96,32,1/6/19,Horizon Lunar Colony,SINATRAA,doomfist,169.17,2,3,2,7.09,10.64,7.09,"[79.94, 74.68]","[4.006, 5.855]"
97,32,1/6/19,Horizon Lunar Colony,SINATRAA,zarya,94.4,1,2,2,6.36,12.71,12.71,"[60.39, 92.37]","[0.0, 2.374]"
98,32,1/6/19,Horizon Lunar Colony,SINATRAA,bastion,57.52,1,1,0,10.43,10.43,N/A,N/A,N/A
99,32,1/6/19,Horizon Lunar Colony,SINATRAA,brigitte,90.0,0,1,0,0.0,6.67,N/A,N/A,N/A
100,32,1/6/19,Horizon Lunar Colony,BABYBAY,sombra,196.0,1,2,2,3.06,6.12,6.12,"[27.03, 84.41]","[0.0, 37.046]"
101,32,1/6/19,Horizon Lunar Colony,BABYBAY,brigitte,450.74,3,6,5,3.99,7.99,6.66,"[68.65, 106.14, 58.27, 53.63, 155.28]","[0.0, 0.0, 0.0, 0.0, 0.0]"
102,32,1/6/19,Horizon Lunar Colony,BABYBAY,junkrat,49.26,0,0,0,0.0,0.0,N/A,N/A,N/A
103,32,1/6/19,Horizon Lunar Colony,BABYBAY,widowmaker,90.0,1,0,0,6.67,0.0,N/A,N/A,N/A
104,32,1/6/19,Horizon Lunar Colony,MOTH,ana,644.79,1,7,6,0.93,6.51,5.58,"[69.72, 71.0, 89.53, 97.13, 103.95, 78.65]","[11.631, 0.0, 0.5, 4.79, 0.0, 33.35]"
105,32,1/6/19,Horizon Lunar Colony,MOTH,mercy,51.21,0,0,0,0.0,0.0,N/A,N/A,N/A
106,32,1/6/19,Horizon Lunar Colony,MOTH,symmetra,90.0,0,1,0,0.0,6.67,N/A,N/A,N/A
107,32,1/6/19,Horizon Lunar Colony,SLEEPY,zenyatta,696.0,8,5,7,6.9,4.31,6.03,"[114.95, 29.41, 76.28, 77.04, 74.55, 71.06, 32.64]","[37.327, 0.0, 4.38, 64.03, 10.27, 9.26, 0.0]"
108,32,1/6/19,Horizon Lunar Colony,SLEEPY,unknown,90.0,0,0,0,0.0,0.0,N/A,N/A,N/A
109,33,1/6/19,Temple of Anubis,SMURF,winston,795.46,6,11,6,4.53,8.3,4.53,"[63.4, 149.99, 116.93, 90.4, 65.86, 78.44]","[0.0, 73.0, 52.73, 21.75, 0.0, 0.0]"
110,33,1/6/19,Temple of Anubis,SMURF,orisa,122.53999999999999,2,2,0,9.79,9.79,N/A,N/A,N/A
111,33,1/6/19,Temple of Anubis,CHOIHYDBIN,dva,918.0,7,10,0,4.58,6.54,N/A,N/A,N/A
112,33,1/6/19,Temple of Anubis,@UNKNOWN_BLUE#0,brigitte,82.57,0,2,1,0.0,14.53,7.27,[80.38],[0.0]
113,33,1/6/19,Temple of Anubis,@UNKNOWN_BLUE#0,bastion,57.43,0,0,0,0.0,0.0,N/A,N/A,N/A
114,33,1/6/19,Temple of Anubis,@UNKNOWN_BLUE#0,tracer,179.35000000000002,4,1,1,13.38,3.35,3.35,[79.65],[0.0]
115,33,1/6/19,Temple of Anubis,@UNKNOWN_BLUE#0,sombra,264.06,1,4,2,2.27,9.09,4.54,"[137.22, 96.0]","[13.271, 9.49]"
116,33,1/6/19,Temple of Anubis,@UNKNOWN_BLUE#0,zarya,175.59,2,2,2,6.83,6.83,6.83,"[1.85, 100.36]","[0.0, 0.0]"
117,33,1/6/19,Temple of Anubis,@UNKNOWN_BLUE#0,ashe,159.0,1,4,0,3.77,15.09,N/A,N/A,N/A
118,33,1/6/19,Temple of Anubis,STRIKER,tracer,75.34,0,2,1,0.0,15.93,7.96,[59.94],[0.0]
119,33,1/6/19,Temple of Anubis,STRIKER,junkrat,147.47,1,1,1,4.07,4.07,4.07,[85.39],[14.642]
120,33,1/6/19,Temple of Anubis,STRIKER,ana,419.76,2,5,3,2.86,7.15,4.29,"[104.33, 59.64, 91.39]","[45.656, 30.94, 4.27]"
121,33,1/6/19,Temple of Anubis,STRIKER,lucio,199.24,2,2,3,6.02,6.02,9.03,"[38.68, 91.41, 48.3]","[0.0, 4.724, 0.0]"
122,33,1/6/19,Temple of Anubis,STRIKER,sombra,76.2,1,2,1,7.87,15.75,7.87,[18.16],[0.0]
123,33,1/6/19,Temple of Anubis,ARCHITECT,mercy,219.14,0,3,1,0.0,8.21,2.74,[91.37],[3.013]
124,33,1/6/19,Temple of Anubis,ARCHITECT,genji,494.12,10,7,4,12.14,8.5,4.86,"[137.22, 59.09, 59.64, 106.99]","[12.77, 0.0, 30.94, 52.93]"
125,33,1/6/19,Temple of Anubis,ARCHITECT,brigitte,124.88,0,1,1,0.0,4.8,4.8,[73.05],[0.0]
126,33,1/6/19,Temple of Anubis,ARCHITECT,ana,79.86,0,1,1,0.0,7.51,7.51,[96.45],[0.0]
127,33,1/6/19,Temple of Anubis,VIOL2T,zenyatta,841.62,3,14,6,2.14,9.98,4.28,"[94.12, 24.55, 80.18, 114.78, 112.81, 26.06]","[101.336, 0.0, 97.71, 0.5, 0.0, 0.0]"
128,33,1/6/19,Temple of Anubis,VIOL2T,hammond,76.38,1,1,1,7.86,7.86,7.86,[16.7],[0.0]
129,33,1/6/19,Temple of Anubis,SUPER,winston,583.76,12,6,5,12.33,6.17,5.14,"[111.57, 55.46, 120.4, 77.04, 120.93]","[0.0, 0.0, 5.56, 0.0, 6.81]"
130,33,1/6/19,Temple of Anubis,SUPER,orisa,248.88,1,2,1,2.41,4.82,2.41,[125.72],[68.745]
131,33,1/6/19,Temple of Anubis,SUPER,hammond,85.36,2,0,1,14.06,0.0,7.03,[2.29],[0.0]
132,33,1/6/19,Temple of Anubis,NEVIX,dva,850.5799999999999,12,5,0,8.46,3.53,N/A,N/A,N/A
133,33,1/6/19,Temple of Anubis,NEVIX,mei,67.42,0,1,0,0.0,8.9,N/A,N/A,N/A
134,33,1/6/19,Temple of Anubis,SINATRAA,tracer,299.0,7,3,2,14.05,6.02,4.01,"[118.71, 72.95]","[0.0, 76.25]"
135,33,1/6/19,Temple of Anubis,SINATRAA,bastion,274.71,4,1,2,8.74,2.18,4.37,"[62.58, 147.92]","[0.512, 0.0]"
136,33,1/6/19,Temple of Anubis,SINATRAA,doomfist,344.29,6,5,4,10.46,8.71,6.97,"[45.71, 144.53, 92.04, 45.47]","[0.0, 6.59, 15.202, 6.574]"
137,33,1/6/19,Temple of Anubis,BABYBAY,sombra,481.77,7,2,5,8.72,2.49,6.23,"[66.17, 33.16, 100.41, 66.23, 107.7]","[27.859, 0.0, 0.0, 0.0, 11.76]"
138,33,1/6/19,Temple of Anubis,BABYBAY,brigitte,74.76,1,1,2,8.03,8.03,16.05,"[15.96, 44.82]","[0.0, 0.0]"
139,33,1/6/19,Temple of Anubis,BABYBAY,junkrat,361.47,7,4,3,11.62,6.64,4.98,"[101.82, 44.19, 94.07]","[10.211, 45.39, 16.98]"
140,33,1/6/19,Temple of Anubis,MOTH,unknown,299.0,0,0,2,0.0,0.0,4.01,"[99.48, 91.62]","[2.504, 19.17]"
141,33,1/6/19,Temple of Anubis,MOTH,mercy,279.51,1,4,3,2.15,8.59,6.44,"[104.33, 36.9, 18.9]","[46.157, 0.0, 0.0]"
142,33,1/6/19,Temple of Anubis,MOTH,ana,339.49,0,4,4,0.0,7.07,7.07,"[62.09, 87.44, 86.84, 91.83]","[0.0, 27.551, 0.0, 0.0]"
143,33,1/6/19,Temple of Anubis,SLEEPY,zenyatta,574.03,6,3,4,6.27,3.14,4.18,"[114.56, 69.28, 88.52, 79.9]","[6.178, 81.21, 3.07, 0.0]"
144,33,1/6/19,Temple of Anubis,SLEEPY,brigitte,203.53,2,1,3,5.9,2.95,8.84,"[41.48, 101.29, 35.73]","[0.0, 0.586, 0.0]"
145,33,1/6/19,Temple of Anubis,SLEEPY,widowmaker,140.44,7,1,2,29.91,4.27,8.54,"[35.4, 99.37]","[0.0, 0.0]"
146,34,1/7/19,Nepal,SUPER,winston,280.0,5,1,3,10.71,2.14,6.43,"[66.01, 80.8, 89.45]","[11.517, 18.099, 0.0]"
147,34,1/7/19,Nepal,SUPER,reinhardt,539.0,5,8,7,5.57,8.91,7.79,"[58.53, 75.43, 47.47, 32.39, 28.53, 33.47, 98.64]","[50.314, 5.018, 0.0, 0.0, 0.0, 12.7, 38.27]"
148,34,1/7/19,Nepal,NEVIX,dva,819.0,18,3,0,13.19,2.2,N/A,N/A,N/A
149,34,1/7/19,Nepal,SINATRAA,zarya,771.96,6,6,7,4.66,4.66,5.44,"[91.08, 48.57, 76.46, 50.26, 69.9, 42.16, 74.6]","[20.663, 0.0, 30.074, 92.35, 29.45, 0.0, 0.0]"
150,34,1/7/19,Nepal,SINATRAA,tracer,47.04,0,1,0,0.0,12.76,N/A,N/A,N/A
151,34,1/7/19,Nepal,ARCHITECT,doomfist,111.08,0,1,0,0.0,5.4,N/A,N/A,N/A
152,34,1/7/19,Nepal,ARCHITECT,brigitte,707.92,4,6,7,3.39,5.09,5.93,"[53.39, 82.42, 77.32, 79.93, 35.33, 36.84, 85.81]","[23.495, 0.0, 29.51, 3.01, 0.0, 0.0, 0.5]"
153,34,1/7/19,Nepal,MOTH,lucio,819.0,4,7,5,2.93,5.13,3.66,"[122.64, 110.14, 76.32, 98.62, 94.65]","[36.649, 5.503, 36.52, 0.5, 19.36]"
154,34,1/7/19,Nepal,SLEEPY,zenyatta,685.9,4,7,5,3.5,6.12,4.37,"[66.01, 50.56, 67.41, 78.35, 66.61]","[48.235, 9.073, 5.545, 117.52, 0.0]"
155,34,1/7/19,Nepal,SLEEPY,moira,133.1,0,0,2,0.0,0.0,9.02,"[31.04, 89.45]","[7.411, 36.634]"
156,34,1/7/19,Nepal,FATE,winston,166.07,0,2,1,0.0,7.23,3.61,[114.27],[5.586]
157,34,1/7/19,Nepal,FATE,reinhardt,652.9300000000001,8,7,4,7.35,6.43,3.68,"[96.73, 63.1, 67.87, 115.15]","[16.027, 80.04, 0.0, 118.19]"
158,34,1/7/19,Nepal,SPACE.,dva,819.0,8,5,0,5.86,3.66,N/A,N/A,N/A
159,34,1/7/19,Nepal,AGILITIES,brigitte,766.85,5,10,11,3.91,7.82,8.61,"[119.68, 25.55, 29.73, 64.13, 48.57, 42.39, 41.88, 32.56, 87.48, 53.33, 51.52]","[0.0, 0.0, 13.158, 36.19, 0.0, 2.51, 0.0, 0.0, 0.0, 0.0, 0.0]"
160,34,1/7/19,Nepal,AGILITIES,doomfist,52.15,2,0,0,23.01,0.0,N/A,N/A,N/A
