,Unnamed: 0,playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total
136,136,4144,4406,maindps,Surefour,GLA,17.00736106,4.538774271,9977.130909,33.44330134,4.747453547,4.956132824,11500.90242
137,137,8705,4407,maintank,SWoN,FLA,17.65463702,6.865692175,6943.893355,0.0,3.616748556,6.068781476,9787.796815
138,138,3504,4407,flexdps,TviQ,FLA,18.76178384,5.088980583000001,6207.37007,6950.1216030000005,4.782415487,4.659789449,9785.849875
139,139,8729,7696,flexsupport,Twilight,VAN,14.78074785,4.115423912,7165.3023140000005,9231.036188,4.868952234,4.231351346,10351.30303
140,140,3983,4523,flexsupport,uNKOE,DAL,14.22521819,4.910484572,7087.970681999999,9239.714512,4.505496153999999,3.3411544510000004,11852.19079
141,141,8688,4404,flexsupport,Viol2t,SFS,14.079246300000001,5.147251335,8640.593039,12372.44653,5.450030825,2.119456432,3963.280336
142,142,5809,4406,offtank,Void,GLA,18.88068137,3.077238124,7786.150826000001,0.9919857320000001,2.24273287,5.059188102,11503.82212
143,143,4640,4407,offtank,xepheR,FLA,18.84620886,4.776094025,6484.650390999999,43.10333083,3.6143414239999996,6.776890171,9296.299395999999
144,144,8753,7695,maintank,Yakpung,TOR,16.25304355,6.362047627000001,7012.301254000001,0.0,3.777465779,4.423611241000001,12071.5852
145,145,8894,4408,flexdps,YOUNGJIN,SHD,17.30814227,5.661541864,6042.855915,5520.496725999999,4.286595983,4.367475152,7418.473803
146,146,8813,7692,mainsupport,Yveltal,CDH,8.064926987,4.663393156000001,2979.156788,6711.846031,3.236943485,1.371586222,10936.24284
147,147,8642,4523,flexdps,ZachaREEE,DAL,15.490807,5.619214304,4989.499464,8265.283159999999,4.809237467,4.151131288,11852.19079
