,Unnamed: 0,Unnamed: 0.1,playerId,teamId,role,name,team,eliminations_avg_per_10m,deaths_avg_per_10m,hero_damage_avg_per_10m,healing_avg_per_10m,ultimates_earned_avg_per_10m,final_blows_avg_per_10m,time_played_total,total_elims,total_deaths,total_hero_damage,total_healing,total_ultimates,total_final_blows
43,43,43,4634,7695,offtank,Envy,TOR,20.22932331,4.274500749,7386.293906,249.7328476,3.379837802,5.914716153,12071.5852,406.99999979168507,85.99999996502886,148607.12699753296,5024.452245070026,67.99999998170621,118.9999999579262
44,44,44,4083,4524,flexdps,eqo,PHI,18.14133073,5.304222006,5644.191269,8214.074383,4.27903624,3.3429970630000003,13460.97503,406.9999999458361,118.99999996057085,126627.19622758836,184282.41694020943,95.99999996517514,74.99999998401057
45,45,45,8692,7698,flexdps,Erster,ATL,21.37297628,4.150092482,6121.855498,5767.536851,4.565101731,5.464288435,8674.505484000001,308.9999999171032,59.99999999036029,88506.78181609426,83384.21673861933,66.00000000096233,78.9999999926088
46,46,46,8684,7697,mainsupport,Fahzix,WAS,7.70253416,3.648568813,4603.356347999998,6901.28565,3.513436634,1.081057426,4440.097154,57.000000004006296,27.000000004624095,34065.582366004375,51070.63128917673,25.99999999897123,8.000000000821943
47,47,47,4636,4405,maintank,Fate,VAL,14.7856036,6.351204295,7976.835078,0.0,4.522057458,4.369628555,11808.78405,290.9999999355043,124.99999996181249,156994.5380642782,0.0,88.99999997202325,85.99999997451425
48,48,48,5864,7694,offtank,Finnsi,PAR,23.31688764,3.426154919,6922.6954209999985,0.0,4.1875226780000006,6.757138867,6304.443469,244.99999999900803,36.000000004786294,72739.56989133275,0.0,43.99999999767749,70.99999999864035
49,49,49,4657,4409,maintank,Fissure,SEO,17.17236807,5.370267832000001,7974.901068000001,0.0,4.308703261000002,6.244497479,9608.45932,275.00000004776984,86.00000000212766,127710.85415483761,0.0,69.00000000878309,100.00000000135674
50,50,50,4631,4409,maindps,Fleta,SEO,20.23012521,4.308267407,10576.97638,529.9096857,3.996074116,7.11800702,9609.431377,323.9999999226879,69.00000000222039,169397.88116626648,8486.884601236312,63.999999991846565,113.99999999949044
51,51,51,4659,4410,offtank,Fury,LDN,19.59510902,2.515915232,6886.406284999999,22.57663377,3.193277025,6.338171064,12401.05374,404.9999999969645,51.99999999552761,142331.1573595979,466.6234144167813,65.99999998955387,130.99999996329495
52,52,52,8203,4402,maintank,Fusions,BOS,13.27413047,7.130104366,7635.748340999998,0.0,4.323573924,4.475278272,7910.122644,175.0000000169289,93.99999999929979,100666.17642671586,0.0,56.99999999873389,58.99999999591398
